ID,1355,1365,1370,1372,1375,1376,1381,1382,1385,1389,1397,1402
0301,اردبیل,اردبیل,اردبیل,,,,,,,,,
0302,اهر,اهر,اهر,اهر,اهر,اهر,اهر,اهر,اهر,اهر,اهر,اهر
0303,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز,تبریز
0304,خلخال,خلخال,خلخال,,,,,,,,,
0305,سراب,سراب,سراب,سراب,سراب,سراب,سراب,سراب,سراب,سراب,سراب,سراب
0306,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه,مراغه
0307,مرند,مرند,مرند,مرند,مرند,مرند,مرند,مرند,مرند,مرند,مرند,مرند
0308,مشکین شهر,مشگین شهر,مشگین شهر,,,,,,,,,
0309,میانه,مغان,مغان,,,,,,,,,
0310,هشترود,میانه,میانه,میانه,میانه,میانه,میانه,میانه,میانه,میانه,میانه,میانه
0311,,هشترود,هشترود,هشترود,هشترود,هشترود,هشترود,هشترود,هشترود,هشترود,هشترود,هشترود
0312,,,بناب,بناب,بناب,بناب,بناب,بناب,بناب,بناب,بناب,بناب
0313,,,بستان اباد,بستان اباد,بستان اباد,بستان اباد,بستان اباد,بستان اباد,بستان آباد,بستان آباد,بستان آباد,بستان آباد
0314,,,شبستر,شبستر,شبستر,شبستر,شبستر,شبستر,شبستر,شبستر,شبستر,شبستر
0315,,,کلیبر,کلیبر,کلیبر,کلیبر,کلیبر,کلیبر,کلیبر,کلیبر,کلیبر,کلیبر
0316,,,هریس,هریس,هریس,هریس,هریس,هریس,هریس,هریس,هریس,هریس
0317,,,بیله سوار,,,,,,,,,
0318,,,پارس اباد,,,,,,,,,
0319,,,,,جلفا,جلفا,جلفا,جلفا,جلفا,جلفا,جلفا,جلفا
0320,,,,,ملکان,ملکان,ملکان,ملکان,ملکان,ملکان,ملکان,ملکان
0321,,,,,,اذرشهر,اذرشهر,اذرشهر,آذرشهر,آذرشهر,آذرشهر,آذرشهر
0322,,,,,,اسکو,اسکو,اسکو,اسکو,اسکو,اسکو,اسکو
0323,,,,,,,چاراویماق,چاراویماق,چاراویماق,چاراویماق,چاراویماق,چاراویماق
0324,,,,,,,ارسباران,ورزقان (ارسباران),ورزقان,ورزقان,ورزقان,ورزقان
0325,,,,,,,عجب شیر,عجب شیر,عجب شیر,عجب شیر,عجب شیر,عجب شیر
0326,,,,,,,,,,خداآفرین,خداآفرین,خداآفرین
0327,,,,,,,,,,,هوراند,هوراند
0328,,,,,,,,,,,,لیلان
