ID,1355,1365,1370,1376,1388,1400,1401
0401,پیرانشهر,ارومیه,ارومیه,ارومیه,ارومیه,ارومیه,ارومیه
0402,خوی,پیرانشهر,پیرانشهر,پیرانشهر,پیرانشهر,پیرانشهر,پیرانشهر
0403,رضاییه,خوی,خوی,خوی,خوی,خوی,خوی
0404,سردشت,سردشت,سردشت,سردشت,سردشت,سردشت,سردشت
0405,شاهپور,سلماس,سلماس,سلماس,سلماس,سلماس,سلماس
0406,ماکو,ماکو,ماکو,ماکو,ماکو,ماکو,ماکو
0407,مهاباد,مهاباد,مهاباد,مهاباد,مهاباد,مهاباد,مهاباد
0408,میاندواب,میاندواب,میاندواب,میاندوآب,میاندوآب,میاندوآب,میاندوآب
0409,نقده,نقده,نقده,نقده,نقده,نقده,نقده
0410,,,بوکان,بوکان,بوکان,بوکان,بوکان
0411,,,شاهین دژ,شاهین دژ,شاهین دژ,شاهین دژ,شاهین دژ
0412,,,تکاب,تکاب,تکاب,تکاب,تکاب
0413,,,,اشنویه,اشنویه,اشنویه,اشنویه
0414,,,,چالدران,چالدران,چالدران,چالدران
0415,,,,,پلدشت,پلدشت,پلدشت
0416,,,,,چایپاره,چایپاره,چایپاره
0417,,,,,شوط,شوط,شوط
0418,,,,,,چهاربرج,چهاربرج
0419,,,,,,باروق,باروق
0420,,,,,,,میرآباد
