ID,1355,1365,1370,1372,1373,1375,1382,1385
0501,پاوه,اسلام اباد,اسلام ابادغرب,اسلام ابادغرب,اسلام ابادغرب,اسلام ابادغرب,اسلام ابادغرب,اسلام آبادغرب
0502,سنقر,باختران,باختران,کرمانشاه,کرمانشاه,کرمانشاه,کرمانشاه,کرمانشاه
0503,شاه ابادغرب,پاوه,پاوه,پاوه,پاوه,پاوه,پاوه,پاوه
0504,قصرشیرین,سرپل ذهاب,سرپل ذهاب,سرپل ذهاب,سرپل ذهاب,سرپل ذهاب,سرپل ذهاب,سرپل ذهاب
0505,کرمانشاه,سنقر,سنقر,سنقر,سنقر,سنقر,سنقر,سنقر
0506,,قصرشیرین,قصرشیرین,قصرشیرین,قصرشیرین,قصرشیرین,قصرشیرین,قصرشیرین
0507,,کنگاور,کنگاور,کنگاور,کنگاور,کنگاور,کنگاور,کنگاور
0508,,گیلانغرب,گیلانغرب,گیلانغرب,گیلانغرب,گیلانغرب,گیلانغرب,گیلانغرب
0509,,,جوانرود,جوانرود,جوانرود,جوانرود,جوانرود,جوانرود
0510,,,,,صحنه,صحنه,صحنه,صحنه
0511,,,,,,هرسین,هرسین,هرسین
0512,,,,,,,ثلاث وباباجانی,ثلاث باباجانی
0513,,,,,,,,دالاهو
0514,,,,,,,,روانسر
