ID,1355,1365,1370,1376,1382,1385,1388,1389,1391,1395,1399,1400,1402
0601,ابادان,ابادان,ابادان,ابادان,ابادان,آبادان,آبادان,آبادان,آبادان,آبادان,آبادان,آبادان,آبادان
0602,اهواز,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک,اندیمشک
0603,ایذه,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز,اهواز
0604,بندرماه شهر,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه,ایذه
0605,بهبهان,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر,بندرماهشهر
0606,خرمشهر,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان,بهبهان
0607,دزفول,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر,خرمشهر
0608,دشت میشان,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول,دزفول
0609,رامهرمز,دشت ازادگان,دشت ازادگان,دشت ازادگان,دشت ازادگان,دشت آزادگان,دشت آزادگان,دشت آزادگان,دشت آزادگان,دشت آزادگان,دشت آزادگان,دشت آزادگان,دشت آزادگان
0610,شوشتر,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز,رامهرمز
0611,مسجدسلیمان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان,شادگان
0612,,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر,شوشتر
0613,,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان,مسجدسلیمان
0614,,,شوش,شوش,شوش,شوش,شوش,شوش,شوش,شوش,شوش,شوش,شوش
0615,,,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک,باغ ملک
0616,,,,امیدیه,امیدیه,امیدیه,امیدیه,امیدیه,امیدیه,امیدیه,امیدیه,امیدیه,امیدیه
0617,,,,,لالی,لالی,لالی,لالی,لالی,لالی,لالی,لالی,لالی
0618,,,,,هندیجان,هندیجان,هندیجان,هندیجان,هندیجان,هندیجان,هندیجان,هندیجان,هندیجان
0619,,,,,,رامشیر,رامشیر,رامشیر,رامشیر,رامشیر,رامشیر,رامشیر,رامشیر
0620,,,,,,گتوند,گتوند,گتوند,گتوند,گتوند,گتوند,گتوند,گتوند
0621,,,,,,,اندیکا,اندیکا,اندیکا,اندیکا,اندیکا,اندیکا,اندیکا
0622,,,,,,,هفتگل,هفتگل,هفتگل,هفتکل,هفتکل,هفتکل,هفتکل
0623,,,,,,,هویزه,هویزه,هویزه,هویزه,هویزه,هویزه,هویزه
0624,,,,,,,,باوی,باوی,باوی,باوی,باوی,باوی
0625,,,,,,,,,حمیدیه,حمیدیه,حمیدیه,حمیدیه,حمیدیه
0626,,,,,,,,,آغاجاری,آغاجاری,آغاجاری,آغاجاری,آغاجاری
0627,,,,,,,,,کارون,کارون,کارون,کارون,کارون
0628,,,,,,,,,,,کرخه,کرخه,کرخه
0629,,,,,,,,,,,,دزپارت,دزپارت
0630,,,,,,,,,,,,,صیدون
