ID,1355,1365,1370,1372,1375,1381,1382,1385,1388,1389,1391,1397,1398,1399,1401
0901,اسفراین,اسفراین,اسفراین,اسفراین,اسفراین,اسفراین,,,,,,,,,
0902,بجنورد,بجنورد,بجنورد,بجنورد,بجنورد,بجنورد,,,,,,,,,
0903,بیرجند,بیرجند,بیرجند,بیرجند,بیرجند,بیرجند,,,,,,,,,
0904,تربت جام,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد,تایباد
0905,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه,تربت حیدریه
0906,درگز,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام,تربت جام
0907,سبزوار,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز,درگز
0908,شیروان,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار,سبزوار
0909,طبس,شیروان,شیروان,شیروان,شیروان,شیروان,,,,,,,,,
0910,فردوس,طبس,طبس,طبس,طبس,,,,,,,,,,
0911,قوچان,فردوس,فردوس,فردوس,فردوس,فردوس,فردوس,,,,,,,,
0912,کاشمر,قاینات,قاینات,قاینات,قاینات,قاینات,قاینات,,,,,,,,
0913,گناباد,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان,قوچان
0914,مشهد,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر,کاشمر
0915,نیشابور,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد,گناباد
0916,باخزر,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد,مشهد
0917,,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور,نیشابور
0918,,,چناران,چناران,چناران,چناران,چناران,چناران,چناران,چناران,چناران,چناران,چناران,چناران,چناران
0919,,,خواف,خواف,خواف,خواف,خواف,خواف,خواف,خواف,خواف,خواف,خواف,خواف,خواف
0920,,,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس,سرخس
0921,,,نهبندان,نهبندان,نهبندان,نهبندان,,,,,,,,,
0922,,,,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان,فریمان
0923,,,,,برداسکن,برداسکن,برداسکن,بردسکن,بردسکن,بردسکن,بردسکن,بردسکن,بردسکن,بردسکن,بردسکن
0924,,,,,,جاجرم,,,,,,,,,
0925,,,,,,مانه و سملقان,,,,,,,,,
0927,,,,,,,رشتخوار,رشتخوار,رشتخوار,رشتخوار,رشتخوار,رشتخوار,رشتخوار,رشتخوار,رشتخوار
0928,,,,,,,کلات,کلات,کلات,کلات,کلات,کلات,کلات,کلات,کلات
0929,,,,,,,,خلیل آباد,خلیل آباد,خلیل آباد,خلیل آباد,خلیل آباد,خلیل آباد,خلیل آباد,خلیل آباد
0930,,,,,,,,مه ولات,مه ولات,مه ولات,مه ولات,مه ولات,مه ولات,مه ولات,مه ولات
0931,,,,,,,,,بجستان,بجستان,بجستان,بجستان,بجستان,بجستان,بجستان
0932,,,,,,,,,بینالود,بینالود,بینالود,بینالود,بینالود,بینالود,طرقبه شاندیز
0933,,,,,,,,,تخت جلگه,تخت جلگه,فیروزه,فیروزه,فیروزه,فیروزه,فیروزه
0934,,,,,,,,,جغتای,جغتای,جغتای,جغتای,جغتای,جغتای,جغتای
0935,,,,,,,,,زاوه,زاوه,زاوه,زاوه,زاوه,زاوه,زاوه
0936,,,,,,,,,جوین,جوین,جوین,جوین,جوین,جوین,جوین
0937,,,,,,,,,,باخرز,باخرز,باخرز,باخرز,باخرز,باخرز
0938,,,,,,,,,,خوشاب,خوشاب,خوشاب,خوشاب,خوشاب,خوشاب
0939,,,,,,,,,,,داورزن,داورزن,داورزن,داورزن,داورزن
0940,,,,,,,,,,,,صالح آباد,صالح آباد,صالح آباد,صالح آباد
0941,,,,,,,,,,,,,کوهسرخ,کوهسرخ,کوهسرخ
0942,,,,,,,,,,,,,,زبرخان,زبرخان
0943,,,,,,,,,,,,,,ششتمد,ششتمد
0944,,,,,,,,,,,,,,گلبهار,گلبهار
0945,,,,,,,,,,,,,,,میان جلگه
