ID,1355,1365,1370,1381,1385,1388,1391,1392,1393,1394,1397,1398,1399,1400
1101,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر,ایرانشهر
1102,چاه بهار,چاه بهار,چاه بهار,چاه بهار,چاه بهار,چاه بهار,چاه بهار,چاه بهار,چاه بهار,چابهار,چابهار,چاه بهار,چاه بهار,چاه بهار
1103,زابل,خاش,خاش,خاش,خاش,خاش,خاش,خاش,خاش,خاش,خاش,خاش,خاش,خاش
1104,زاهدان,زابل,زابل,زابل,زابل,زابل,زابل,زابل,زابل,زابل,زابل,زابل,زابل,زابل
1105,سراوان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان,زاهدان
1106,خاش,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان,سراوان
1107,,,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر,نیک شهر
1108,,,,سرباز,سرباز,سرباز,سرباز,سرباز,سرباز,سرباز,سرباز,راسک,راسک,راسک
1109,,,,,کنارک,کنارک,کنارک,کنارک,کنارک,کنارک,کنارک,کنارک,کنارک,کنارک
1110,,,,,زهک,زهک,زهک,زهک,زهک,زهک,زهک,زهک,زهک,زهک
1111,,,,,,هیرمند,هیرمند,هیرمند,هیرمند,هیرمند,هیرمند,هیرمند,هیرمند,هیرمند
1112,,,,,,دلگان,دلگان,دلگان,دلگان,دلگان,دلگان,دلگان,دلگان,دلگان
1113,,,,,,زابلی,زابلی,زابلی,مهرستان,مهرستان,مهرستان,مهرستان,مهرستان,مهرستان
1114,,,,,,سیب و سوران,سیب و سوران,سیب و سوران,سیب و سوران,سیب و سوران,سیب و سوران,سیب و سوران,سیب و سوران,سیب و سوران
1115,,,,,,,نیمروز,نیمروز,نیمروز,نیمروز,نیمروز,نیمروز,نیمروز,نیمروز
1116,,,,,,,هامون,هامون,هامون,هامون,هامون,هامون,هامون,هامون
1117,,,,,,,میرجاوه,میرجاوه,میرجاوه,میرجاوه,میرجاوه,میرجاوه,میرجاوه,میرجاوه
1118,,,,,,,قصرقند,قصرقند,قصرقند,قصرقند,قصرقند,قصرقند,قصرقند,قصرقند
1119,,,,,,,,فنوج,فنوج,فنوج,فنوج,فنوج,فنوج,فنوج
1120,,,,,,,,,,,بمپور,بمپور,بمپور,بمپور
1121,,,,,,,,,,,,تفتان,تفتان,تفتان
1122,,,,,,,,,,,,دشتیاری,دشتیاری,دشتیاری
1123,,,,,,,,,,,,سرباز,سرباز,سرباز
1124,,,,,,,,,,,,,گلشن,گلشن
1125,,,,,,,,,,,,,,لاشار
1126,,,,,,,,,,,,,,زرآباد
