ID,1355,1365,1370,1381,1388,1391,1397,1401,1402
1401,بروجن,بروجن,بروجن,بروجن,بروجن,بروجن,بروجن,بروجن,بروجن
1402,شهرکرد,شهرکرد,شهرکرد,شهرکرد,شهرکرد,شهرکرد,شهرکرد,شهرکرد,شهرکرد
1403,,فارسان,فارسان,فارسان,فارسان,فارسان,فارسان,فارسان,فارسان
1404,,لردگان,لردگان,لردگان,لردگان,لردگان,لردگان,لردگان,لردگان
1405,,,اردل,اردل,اردل,اردل,اردل,اردل,اردل
1406,,,,کوهرنگ,کوهرنگ,کوهرنگ,کوهرنگ,کوهرنگ,کوهرنگ
1407,,,,,کیار,کیار,کیار,کیار,کیار
1408,,,,,,سامان,سامان,سامان,سامان
1409,,,,,,بن,بن,بن,بن
1410,,,,,,,خانمیرزا,خانمیرزا,خانمیرزا
1411,,,,,,,,فلارد,فلارد
1412,,,,,,,,,فرخ شهر
