ID,1355,1365,1370,1375,1376,1381,1388,1391,1392,1400,1401
2101,اردکان,اردکان,اردکان,اردکان,اردکان,اردکان,اردکان,اردکان,اردکان,اردکان,اردکان
2102,بافق,بافق,بافق,بافق,بافق,بافق,بافق,بافق,بافق,بافق,بافق
2103,تفت,تفت,تفت,تفت,تفت,تفت,تفت,تفت,تفت,تفت,تفت
2104,یزد,مهریز,مهریز,مهریز,مهریز,مهریز,مهریز,مهریز,مهریز,مهریز,مهریز
2105,,یزد,یزد,یزد,یزد,یزد,یزد,یزد,یزد,یزد,یزد
2106,,,میبد,میبد,میبد,میبد,میبد,میبد,میبد,میبد,میبد
2107,,,,ابرکوه,ابرکوه,ابرکوه,ابرکوه,ابرکوه,ابرکوه,ابرکوه,ابرکوه
2108,,,,,صدوق,صدوق,صدوق,صدوق,اشکذر,اشکذر,اشکذر
2109,,,,,,خاتم,خاتم,خاتم,خاتم,خاتم,خاتم
2110,,,,,,طبس,طبس,,,,
2111,,,,,,,بهاباد,بهاباد,بهاباد,بهاباد,بهاباد
2112,,,,,,,,,,مروست,مروست
2113,,,,,,,,,,,زارچ
