ID,1372,1375,1376,1388,1397,1399
2401,اردبیل,اردبیل,اردبیل,اردبیل,اردبیل,اردبیل
2402,بیله سوار,بیله سوار,بیله سوار,بیله سوار,بیله سوار,بیله سوار
2403,خلخال,خلخال,خلخال,خلخال,خلخال,خلخال
2404,مشگین شهر,مشگین شهر,مشگین شهر,مشگین شهر,مشگین شهر,مشگین شهر
2405,مغان/ گرمی /,گرمی,گرمی,گرمی,گرمی,گرمی
2406,پارس اباد,پارس اباد,پارس آباد,پارس آباد,پارس آباد,پارس آباد
2407,,,کوثر,کوثر,کوثر,کوثر
2408,,,نمین,نمین,نمین,نمین
2409,,,نیر,نیر,نیر,نیر
2410,,,,سرعین,سرعین,سرعین
2411,,,,,اصلاندوز,اصلاندوز
2412,,,,,,انگوت
